zip_code,latitude,longitude
501,40.8154,-73.0456
544,40.8154,-73.0456
601,18.196747,-66.736735
602,18.352927,-67.177532
603,18.458585,-67.129867
603,18.458585,-67.129867
604,18.488773,-67.147741
604,18.488773,-67.147741
605,18.4289,-67.1538
606,18.166734,-66.939233
610,18.294649,-67.130034
611,18.2856,-66.9698
612,18.388009,-66.665279
613,18.4744,-66.7163
614,18.4744,-66.7163
616,18.405484,-66.671233
617,18.429792,-66.558109
622,17.992876,-67.153699
623,18.040203,-67.146574
624,18.072797,-66.724825
627,18.425195,-66.867756
631,18.224554,-66.867756
631,18.224554,-66.867756
636,18.1647,-67.0797
637,18.077592,-66.939232
638,18.299662,-66.498579
641,18.279721,-66.689096
646,18.459098,-66.272418
647,17.97252,-66.945189
650,18.363009,-66.558109
652,18.451909,-66.599784
653,17.982516,-66.891581
656,18.037324,-66.796287
659,18.416025,-66.796287
660,18.138245,-67.111993
662,18.45613,-67.02263
664,18.210309,-66.581923
667,18.010034,-67.02263
669,18.291418,-66.867756
670,18.239633,-66.986887
670,18.239633,-66.986887
670,18.239633,-66.986887
674,18.433168,-66.498579
676,18.385559,-67.082204
677,18.331739,-67.231158
678,18.431293,-66.915406
680,18.210009,-67.106035
681,18.1211,-67.0824
682,18.220812,-67.147741
683,18.099194,-67.02263
685,18.316188,-66.974973
687,18.322194,-66.415246
688,18.349991,-66.629553
690,18.50189,-67.097099
692,18.4018,-66.343828
693,18.420721,-66.403342
694,18.4465,-66.3884
694,18.4465,-66.3884
698,18.090875,-66.867756
703,18.262566,-66.129629
704,17.980199,-66.218868
704,17.980199,-66.218868
705,18.135403,-66.260518
707,18.012675,-65.915522
714,17.987052,-66.058249
715,18.007113,-66.558109
715,18.007113,-66.558109
716,17.987655,-66.6236
716,17.987655,-66.6236
717,18.000417,-66.614669
718,18.25005,-65.784727
719,18.278197,-66.248617
720,18.20454,-66.450958
721,18.3018,-66.08
721,18.3018,-66.08
723,18.025158,-66.010668
725,18.205646,-66.034458
726,18.2364,-66.0489
727,18.21671,-66.055275
728,18.019233,-66.65337
729,18.341924,-65.891738
730,18.032129,-66.6236
731,18.095571,-66.641462
732,18.0133,-66.6146
733,18.0133,-66.6146
734,18.0133,-66.6146
